name,lat,lng,capacity,actual_volume
Bank of China,22.37562,114.177314,80,3640
Bank of China,22.265761,114.235779,120,11265
Bank of China,22.267298,114.243662,100,20202
中國銀行 Bank of China,22.407417,113.968936,200,11825
中國銀行(香港) Bank of China (Hong Kong),22.29962,114.177439,150,7048
中國銀行BOC,22.262573,114.250003,80,7048
中國銀行大廈 Bank of China Building,22.280211,114.160128,200,34488
中國銀行柴灣分行 Bank of China Chai Wan Branch,22.263893,114.23985,200,16748
中國銀行（香港） Bank of China (Hong Kong),22.249588,114.149102,200,26458
中國銀行（香港） Bank of China (Hong Kong),22.368486,114.139402,150,25445
中國銀行（香港） Bank of China (Hong Kong),22.280285,114.183327,80,16555
中國銀行（香港） Bank of China (Hong Kong),22.287813,114.19291,100,19359
中國銀行（香港） Bank of China (Hong Kong),22.501365,114.129266,120,12135
中國銀行（香港） Bank of China (Hong Kong),22.337755,114.139989,100,25058
中國銀行（香港） Bank of China (Hong Kong),22.335185,114.19747,120,7498
中國銀行（香港） Bank of China (Hong Kong),22.298219,114.168937,150,9191
中國銀行（香港） Bank of China (Hong Kong),22.286153,114.134404,120,20738
中國銀行（香港） Bank of China (Hong Kong),22.416424,114.228566,80,16043
中國銀行（香港） Bank of China (Hong Kong),22.303794,114.164764,200,13492
中國銀行（香港） Bank of China (Hong Kong),22.458124,114.00253,150,8600
中國銀行（香港） Bank of China (Hong Kong),22.298379,114.172975,120,26696
中國銀行（香港） Bank of China (Hong Kong),22.334785,114.160902,200,46959
中國銀行（香港） Bank of China (Hong Kong),22.310795,114.17084,120,20042
中國銀行（香港） Bank of China (Hong Kong),22.425355,114.232247,80,4006
中國銀行（香港） Bank of China (Hong Kong),22.268579,114.186467,100,21007
中國銀行（香港） Bank of China (Hong Kong),22.2864,114.152126,80,18253
中國銀行（香港） Bank of China (Hong Kong),22.304811,114.18803,80,9890
中國銀行（香港） Bank of China (Hong Kong),22.286312,114.218583,150,26977
中國銀行（香港） Bank of China (Hong Kong),22.281306,114.222377,120,9094
中國銀行（香港） Bank of China (Hong Kong),22.321328,114.171014,120,10330
中國銀行（香港） Bank of China (Hong Kong),22.393855,113.976121,120,23328
中國銀行（香港） Bank of China (Hong Kong),22.321812,114.189866,80,13920
中國銀行（香港） Bank of China (Hong Kong),22.277736,114.172703,100,15751
中國銀行（香港） Bank of China (Hong Kong),22.367912,114.060828,100,7594
中國銀行（香港） Bank of China (Hong Kong),22.287893,114.144769,150,14908
中國銀行（香港） Bank of China (Hong Kong),22.291065,114.200898,200,17663
中國銀行（香港） Bank of China (Hong Kong),22.276511,114.174411,120,27051
中國銀行（香港） Bank of China (Hong Kong),22.248215,114.154876,80,7231
中國銀行（香港） Bank of China (Hong Kong),22.314892,114.222362,80,17368
中國銀行（香港） Bank of China (Hong Kong),22.545873,114.223868,150,14835
中國銀行（香港） Bank of China (Hong Kong),22.369239,114.11785,100,24088
中國銀行（香港） Bank of China (Hong Kong),22.315819,114.169882,200,46560
中國銀行（香港） Bank of China (Hong Kong),22.50345,114.12656,120,10413
中國銀行（香港） Bank of China (Hong Kong),22.305384,114.170777,150,19055
中國銀行（香港） Bank of China (Hong Kong),22.325306,114.168336,150,10714
中國銀行（香港） Bank of China (Hong Kong),22.328794,114.189722,100,9425
中國銀行（香港） Bank of China (Hong Kong),22.21951,114.209717,200,31715
中國銀行（香港） Bank of China (Hong Kong),22.279362,114.161655,200,26851
中國銀行（香港） Bank of China (Hong Kong),22.453044,114.167611,200,25573
中國銀行（香港） Bank of China (Hong Kong),22.341422,114.194016,100,25941
中國銀行（香港） Bank of China (Hong Kong),22.281157,114.156376,100,15209
中國銀行（香港） Bank of China (Hong Kong),22.31032,114.224302,80,16501
中國銀行（香港） Bank of China (Hong Kong),22.306415,114.187566,80,5890
中國銀行（香港） Bank of China (Hong Kong),22.309499,114.187732,100,21425
中國銀行（香港） Bank of China (Hong Kong),22.320461,114.161807,150,25681
中國銀行（香港） Bank of China (Hong Kong),22.447953,114.166474,150,18593
中國銀行（香港） Bank of China (Hong Kong),22.289463,114.194378,150,23460
中國銀行（香港） Bank of China (Hong Kong),22.26903,114.185227,200,45874
中國銀行（香港） Bank of China (Hong Kong),22.370735,114.114371,80,15172
中國銀行（香港） Bank of China (Hong Kong),22.278603,114.16537,80,15198
中國銀行（香港） Bank of China (Hong Kong),22.283878,114.156686,200,41038
中國銀行（香港） Bank of China (Hong Kong),22.311662,114.187817,120,7744
中國銀行（香港） Bank of China (Hong Kong),22.316496,114.170118,150,11219
中國銀行（香港） Bank of China (Hong Kong),22.323415,114.216485,80,19987
中國銀行（香港） Bank of China (Hong Kong),22.371699,114.118695,120,30457
中國銀行（香港） Bank of China (Hong Kong),22.371768,114.10138,100,15168
中國銀行（香港） Bank of China (Hong Kong),22.33556,114.194478,80,18521
中國銀行（香港） Bank of China (Hong Kong),22.299725,114.173325,120,27020
中國銀行（香港） Bank of China (Hong Kong),22.448945,114.166016,200,34794
中國銀行（香港） Bank of China (Hong Kong),22.338095,114.138416,100,12226
中國銀行（香港） Bank of China (Hong Kong),22.299143,114.174661,100,15866
中國銀行（香港） Bank of China (Hong Kong),22.317267,114.226537,200,48413
中國銀行（香港） Bank of China (Hong Kong),22.32128,114.164473,200,22262
中國銀行（香港） Bank of China (Hong Kong),22.338809,114.155694,80,5168
中國銀行（香港） Bank of China (Hong Kong),22.207095,114.029156,120,27998
